Designator,Footprint,Quantity,Value,LCSC Part #
"_11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,11,,
BROADWAY1,Updated BROADWAY,1,~,
"C101, C102",0402,2,4.7pF,
"C128, C130, C188, C190, C196, C292, C321, C534, C536, C601, C602, C605, C608, C710",0402,14,1uF,
C129,0603,1,1uF,
"C13, C145, C15, C159, C165, C181, C224, C230, C302, C304, C306, C326, C328, C502, C526, C529, C533, C705, C707, C802, C809, C810, C815, C9",0402,24,10nF,
"C131, C132, C345, C346, C347, C43, C45, C48, C54, C55, C57, C58, C60, C61, C7, C70, C71",0402,17,0.1uF,
"C149, C154, C162, C167, C184, C202, C203, C204, C206, C209, C226, C232, C311, C706, C708, C816",0402,16,2.2nF,
"C160, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C294, C31, C32, C34, C344, C35, C38, C39, C41, C801, C814",0402,23,100nF,
C199,0402,1,2.2uF,
"C207, C8",0805,2,10uF,
"C265, C266, C296, C297, C44",0603,5,4.7uF,
"C29, C30",0402,2,20pF,
"C342, C343",0603,2,5uF,
C56,0402,1,10uF,
"CB0, CB1, CB2, CB3, CB4, CB5",CP_EIA-7343-15_Kemet-W,6,470uF,
D31,0603,1,?,
"FB1, FB2, FB3, FB38, FB39, FB4, FB40, FB5, FB6",0603,9,PG121,
GDDR,Updated GDDR3,1,~,
HOLLYWOOD1,Updated HOLLYWOOD,1,~,
J1,Molex_SlimStack_52991-0208_2x10_P0.50mm_Vertical,1,Conn_01x20_Pin,
NAND1,TSOP-I-48_18.4x12mm_P0.5mm,1,~,
"R11, R12",0402,2,60,
R13,0402,1,120,
R14,0402,1,40,
"R15, R186, R187, R212, R213, RA20_1, RA20_2, RA20_3, RA20_4",0402,9,100,
"R167, R6",0402,2,30,
"R168, R7",0402,2,70,
R188,0402,1,1.5k,
"R19, R36, R38",0402,3,10k,
R192,0402,1,1M,
"R193, R60, R71",0402,3,1k,
R21,0402,1,4.7k,
R23,0402,1,270k,
R3,0402,1,2,
R35,0402,1,1.2k,
"R37, R39, R40, R44",0402,4,75,
R70,0402,1,12k,
R8,0402,1,270,
"RA1_1, RA1_2, RA1_3, RA1_4",0402,4,750,
"RA9_1, RA9_2, RA9_3, RA9_4",0402,4,1000,
"TP0, TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,8,TestPoint,
TP8,TestPoint_Pad_D1.0mm,1,RTC,
TPL1,TestPoint_Pad_D1.0mm,1,L,
TPR1,TestPoint_Pad_D1.0mm,1,R,
U1,LQFP-64-1EP_10x10mm_P0.5mm_EP5x5mm_ThermalVias,1,~,
U10,SOT-23-5,1,~,
U2,MX_SOIC,1,~,
U5,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,27M,
"USB_2, USB",usb-skinny,2,usb-skinny,
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,ABS06-107-32.768KHZ-T,
