Designator,Mid X,Mid Y,Rotation,Layer
_11,135.68,-54.8,0.0,top
_10,108.72,-92.47,0.0,top
_9,112.26,-61.2,0.0,top
_8,112.16,-59.75,0.0,top
_7,116.52,-49.0,0.0,top
_6,112.52,-49.0,0.0,top
_5,114.52,-49.0,0.0,top
_4,110.52,-49.0,180.0,bottom
_3,109.77,-64.59,180.0,bottom
_2,136.47,-57.68,180.0,bottom
,132.42,-59.87,180.0,bottom
BROADWAY1,155.02,-79.68,0.0,top
C101,141.64,-108.72,180.0,bottom
C102,141.64,-110.14,180.0,bottom
C128,118.28,-62.92,90.0,bottom
C129,123.04,-81.3,270.0,bottom
C13,158.16,-75.9,180.0,bottom
C130,143.38,-102.71,270.0,bottom
C131,109.21,-96.32,180.0,bottom
C132,109.15,-118.83,180.0,bottom
C145,129.07,-87.12,180.0,bottom
C149,125.06,-76.17,0.0,bottom
C15,158.1,-77.91,180.0,bottom
C154,129.01,-85.21,180.0,bottom
C159,129.02,-83.16,180.0,bottom
C160,115.0,-62.15,0.0,bottom
C162,129.08,-77.18,180.0,bottom
C165,129.1,-79.18,180.0,bottom
C167,129.07,-81.2,180.0,bottom
C18,131.15,-108.47,180.0,bottom
C181,129.08,-73.14,180.0,bottom
C184,127.0,-90.14,180.0,bottom
C188,125.11,-84.15,0.0,bottom
C19,132.62,-106.01,0.0,bottom
C190,121.0,-73.14,0.0,bottom
C196,121.06,-77.13,180.0,bottom
C199,124.98,-78.17,0.0,bottom
C20,127.6,-112.37,90.0,bottom
C202,130.97,-89.11,180.0,bottom
C203,123.07,-90.15,0.0,bottom
C204,122.23,-95.925,270.0,bottom
C206,129.08,-95.56,270.0,bottom
C207,137.7,-105.67,270.0,bottom
C209,133.05,-83.16,180.0,bottom
C21,124.41,-114.42,90.0,bottom
C22,128.36,-109.81,0.0,bottom
C224,133.05,-85.11,180.0,bottom
C226,133.05,-87.17,180.0,bottom
C23,129.62,-116.23,180.0,bottom
C230,125.02,-80.14,0.0,bottom
C232,124.99,-82.12,0.0,bottom
C24,122.35,-116.17,0.0,bottom
C25,118.83,-107.76,90.0,bottom
C26,124.39,-112.38,90.0,bottom
C265,133.635,-89.57,180.0,bottom
C266,136.62,-89.57,0.0,bottom
C27,122.32,-101.08,0.0,bottom
C28,127.63,-114.42,90.0,bottom
C29,125.07,-90.12,0.0,bottom
C292,154.98,-79.51,180.0,bottom
C294,120.76,-109.49,0.0,bottom
C296,123.13,-70.095,270.0,bottom
C297,118.135,-69.51,0.0,bottom
C30,123.37,-85.62,180.0,bottom
C302,151.8,-81.01,180.0,bottom
C304,158.12,-81.11,180.0,bottom
C306,133.11,-73.15,0.0,bottom
C31,135.02,-86.16,0.0,bottom
C311,115.92,-97.76,90.0,bottom
C32,138.0,-99.65,0.0,bottom
C321,154.96,-82.74,180.0,bottom
C326,151.84,-84.04,180.0,bottom
C328,158.17,-84.15,180.0,bottom
C34,129.02,-90.13,180.0,bottom
C342,127.1,-74.12,90.0,bottom
C343,125.12,-74.22,90.0,bottom
C344,125.06,-77.17,180.0,bottom
C345,144.78,-97.28,270.0,bottom
C346,143.37,-97.28,90.0,bottom
C347,137.79,-94.55,270.0,bottom
C35,129.61,-101.135,180.0,bottom
C38,121.0,-90.15,0.0,bottom
C39,127.02,-82.15,0.0,bottom
C41,126.99,-80.12,0.0,bottom
C43,131.71,-55.86,270.0,bottom
C44,126.02,-66.5,270.0,bottom
C45,123.21,-66.39,270.0,bottom
C48,124.63,-66.39,270.0,bottom
